Image,door,ceilinglight,window,outlet,cabinet,lightswitch,ceilingfan,blinds,sink,tree,yard,closet,vanity,mirror,toilet,fridge,garagedoor,fence,furnace,kitchenrange,shower,fireplace,dishwasher,waterheater,deck,microwave,garagedooropener,clothesdryer,AC,clotheswasher,shed,gate,porchlight,sumppump
p10-s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p11-s.jpg,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p7-s.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p8-s.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p9-s.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
