Image,door,ceilinglight,window,outlet,cabinet,lightswitch,ceilingfan,blinds,sink,tree,yard,closet,vanity,mirror,toilet,fridge,garagedoor,fence,furnace,kitchenrange,shower,fireplace,dishwasher,waterheater,deck,microwave,garagedooropener,clothesdryer,AC,clotheswasher,shed,gate,porchlight,sumppump,Totals
1649,E,Sunvale,Dr,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____
,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____,____
p10-s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
p11-s.jpg,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
p7-s.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p8-s.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p9-s.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totals,1,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
