Level 1 Group,Level 2 Group,Level 3 Group,Level 4 Group,Level 5 Group,Item Name,Quantity,Material $/Unit,Labor $/unit,Labor Rate ($/hr),Labor Productivity (units/hr),Equipment $/unit,Other $/unit,Subcontract $/unit,Subcontract Rate ($/hr),Subcontract Productivity (units/hr),Measurement Unit (Abbreviation),Description,Private Notes,Product Level 1 Group,Product Level 2 Group,Product Level 3 Group,Product Level 4 Group,Product Level 5 Group,Product Name,Vendor SKU,Incremental Order Quantity,Unit Of Purchase (Abbreviation),Price Per Unit,Waste Factor,Description.1,Private Notes.1,Tags
Interior Overall:,28. Stairs Down,Interior Electrical & Lighting,Outlets & Switches & Accessories,----,ELECTRICAL - Switches - Replace,0.0,17.83,----,0.0,0,----,----,----,----,----,Each (Ea),"Replace switch, includes face plates.",Cost Codes for Misc.,(null),----,----,----,----,"Leviton Decora Plus 15 Amp Quiet Switch, White",639312.0,1.0,each (each),8.47,0.0,----,https://www.homedepot.com/p/Leviton-Decora-Plus-15-Amp-Quiet-Switch-White-R52-05691-2WS/100142692,----
Interior Overall:,28. Stairs Down,Interior Electrical & Lighting,Outlets & Switches & Accessories,----,Standadrd Outlet,0.0,12.51,----,0.0,0,----,----,----,----,----,Each (Ea),"Replace Electrical Outlet, includes face plate.",----,----,----,----,----,----,"Leviton Decora 15 Amp Residential Grade Self Grounding Duplex Outlet, White",627976.0,1.0,each (each),2.65,0.0,----,https://www.homedepot.com/p/Leviton-Decora-15-Amp-Residential-Grade-Self-Grounding-Duplex-Outlet-White-R52-05325-0WS/100357024,----
Interior Overall:,28. Stairs Down,Interior Electrical & Lighting,Outlets & Switches & Accessories,----,ELECTRICAL - GFCI Outlet - Replace,0.0,48.63,----,----,----,----,----,----,----,----,Each (Ea),Replace/install GFCI outlet,----,(null),----,----,----,----,"Leviton 15 Amp 125-Volt Duplex Self-Test SmartlockPro Tamper Resistant AFCI/GFCI Dual Function Outlet, White",1001708951.0,1.0,each (each),32.1,0.0,----,https://www.homedepot.com/p/Leviton-15-Amp-125-Volt-Duplex-Self-Test-SmartlockPro-Tamper-Resistant-AFCI-GFCI-Dual-Function-Outlet-White-R92-AGTR1-0KW/206804820,----
Interior Overall:,28. Stairs Down,Interior Electrical & Lighting,Outlets & Switches & Accessories,----,ELECTRICAL - Blank outlet/GFI under sink,0.0,15,----,0.0,0,----,----,----,----,----,Each (Ea),Blank outlet/GFI under sink Unless required for dishwasher,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,28. Stairs Down,Flooring,Flooring Accessories,----,FLOORING - Transition Strip - Install/Replace,0.0,23.97,----,0.0,0,----,----,----,----,----,Each (Ea),36 in. x 1-3/8 in,----,----,----,----,----,----,TrafficMaster Silver Fluted 36 in. x 1-3/8 in. Carpet Trim,420004.0,1.0,each (each),8.97,0.0,----,https://www.homedepot.com/p/TrafficMaster-Silver-Fluted-36-in-x-1-3-8-in-Carpet-Trim-18562/100354272,----
Interior Overall:,28. Stairs Down,Flooring,Flooring Accessories,----,HVAC - Floor Register - Replace,0.0,19.09,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Everbilt 10 in. x 6 in. 2-Way Steel Wall/Ceiling Register in White,320451.0,1.0,each (each),14.67,0.0,----,https://www.homedepot.com/p/Everbilt-10-in-x-6-in-2-Way-Steel-Wall-Ceiling-Register-in-White-E102M10X06/300539476,----
Interior Overall:,28. Stairs Down,Flooring,Carpet:,----,FLOORING - DEMO - Carpet Demo,0.0,225,----,0.0,0,----,----,----,----,----,Each (Ea),Carpet Demo - Remove carpet prior to paint and haul in specified locations.,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,28. Stairs Down,Flooring,Carpet:,----,Install Carpet,0.0,1.1,----,----,----,----,----,----,----,----,Each (Ea),"Replace any broken tack strips, install carpet and pad.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,28. Stairs Down,Flooring,Floor Base & Shoe,----,Replace quarter round/shoe modling,0.0,1.17,----,0.0,0,----,----,----,----,----,Linear Feet (LF),Replace/install quarter round/shoe molding in specified area(s) in all areas where LVP is installed.,Cost Codes for Interior Carpentry Work,----,----,----,----,----,Alexandria Moulding WM 105 3/4 in. x 3/4 in. Pine Quarter Round Molding,419011.0,1.0,linear feet (linear feet),1.17,0.0,----,https://www.homedepot.com/p/Alexandria-Moulding-WM-105-3-4-in-x-3-4-in-Pine-Quarter-Round-Molding-WM105-920RLC/100083865,----
Interior Overall:,28. Stairs Down,Flooring,Floor Base & Shoe,----,Replace molding,0.0,1.85,----,0.0,0,----,----,----,----,----,Linear Feet (LF),Replace 5 1/4 in baseboard where needed.,----,----,----,----,----,----,Alexandria Moulding LWM163E 1/2 in. x 5-1/4 in. x 12 ft. Primed Finger-Jointed Poplar Wood Baseboard Moulding,800384.0,1.0,piece (piece),37.07,0.05,----,https://www.homedepot.com/p/Alexandria-Moulding-LWM163E-1-2-in-x-5-1-4-in-x-12-ft-Primed-Finger-Jointed-Poplar-Wood-Baseboard-Moulding-L163F-97144C/206013277,----
Interior Overall:,28. Stairs Down,Flooring,Tile Floors,----,"Flooring, Tile wall, replace, standard grade",0.0,21.12,----,----,----,----,----,----,----,----,Square Feet (SF),"Includes tile, grout, mortar, and installation. Allowances for typical grades of tile used in residential and light commercial structures.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,28. Stairs Down,Flooring,Tile Floors,----,"Tile, Tile backerboard, Using 1/2"" backerboard, per 100 SF",0.0,99.96,----,0.0,0,----,----,----,----,----,100 Square Feet (CSF) (CSF),"(Durock(tm) or Wonderboard(tm)).  Water-resistant underlayment for ceramic tile on floors, walls, countertops and other interior wet areas. Material cost for 100 square feet",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,28. Stairs Down,Flooring,Hard Woods,----,FLOORING - Hardwoods Refinish,0.0,3.01,----,0.0,1,----,----,----,----,----,Each (Ea),Sand and refinish hardwoods. PER SQFT,----,----,----,----,----,----,Varathane 1 qt. Clear Satin Water-Based Interior Polyurethane,420301.0,1.0,each (each),23.97,0.0,----,https://www.homedepot.com/p/Varathane-1-qt-Clear-Satin-Water-Based-Interior-Polyurethane-200241H/100169146,----
Interior Overall:,28. Stairs Down,Flooring,LVP,----,LVP Floor Prep,0.0,1.24,----,0.0,0,----,----,----,----,----,Each (Ea),Install underlayment and floor lever where needed to prepare surface for LVP.,----,----,----,----,----,----,TrafficMaster Standard 100 sq. ft. Rolls 25 ft. x 4 ft. x .080 in. Polyethylene Foam 2-in-1 Underlayment,1000003922.0,1.0,roll (roll),49.0,0.0,----,https://www.homedepot.com/p/TrafficMaster-Standard-100-sq-ft-Rolls-25-ft-x-4-ft-x-080-in-Polyethylene-Foam-2-in-1-Underlayment-100779555/203956730,----
Interior Overall:,28. Stairs Down,Flooring,LVP,----,FLOORING - LVP flooring Install/Replace,0.0,3.45,----,0.0,0,----,----,----,----,----,Each (Ea),"Replace/install Luxury Vinyl Plank, flooring Square footage includes closets.",----,----,----,----,----,----,MSI Woodland Centennial Ash 7.13 in. W x 48.03 in. L Rigid Core Click Lock Luxury Vinyl Plank Flooring (23.8 sq. ft./case),1003837462.0,1.0,case (case),56.33,0.0,----,https://www.homedepot.com/p/MSI-Woodland-Centennial-Ash-7-13-in-W-x-48-03-in-L-Rigid-Core-Click-Lock-Luxury-Vinyl-Plank-Flooring-23-8-sq-ft-case-HD-LVR5012-0009/307423378,----
Interior Overall:,28. Stairs Down,Site Specific Drywall Repair & Paint Refesh,----,----,PAINT-Refresh Per Area,0.0,1,----,0.0,0,----,----,----,----,----,Square Feet (SF),Color Match Paint Refresh-Specific wall only,----,(null),----,----,----,----,BEHR PREMIUM PLUS Ultra-Pure-White,928046.0,1.0,gallon (gallon),39.98,0.05,----,https://www.homedepot.com/p/BEHR-PREMIUM-PLUS-1-gal-Ultra-Pure-White-Semi-Gloss-Enamel-Low-Odor-Interior-Paint-Primer-305001/202761530,----
Interior Overall:,28. Stairs Down,Site Specific Drywall Repair & Paint Refesh,----,----,DRYWALL - Repair Per Area (Minor),0.0,50,----,0.0,0,----,----,----,----,----,Each (Ea),"Demo, Patch, Prep..
Tape, Sand & Mud 
Damaged areas of Drywall.",----,----,----,----,----,----,USG Sheetrock Brand 1/2 in. x 23-5/8 in. x 23-5/8 in. Patch and Repair Drywall,159495.0,1.0,each (each),6.63,0.0,----,https://www.homedepot.com/p/USG-Sheetrock-Brand-1-2-in-x-23-5-8-in-x-23-5-8-in-Patch-and-Repair-Drywall-141133/202353426,----
